YYYYMM,MKTRF,SMB,MGMT,PERF,RF
196301,0.049300,0.024818199,0.0213493902,-0.02275123,0.00250
196302,-0.023800,0.0180957537,0.0109613701,0.000873805,0.00230
196303,0.030800,-0.008183017,0.0058899084,0.0232814338,0.00230
196304,0.045100,-0.037327651,0.0001900053,0.0050770119,0.00250
196305,0.017600,0.0215184543,0.0175932042,0.0028483846,0.00240
196306,-0.020000,0.0009943648,-0.02386818,-0.001521306,0.00230
196307,-0.003900,-0.020503863,-0.017134513,-0.013391583,0.00270
196308,0.050700,-0.002230629,0.0041486202,0.0209280905,0.00250
196309,-0.015700,-0.008812091,0.008398419,0.00839391,0.00270
196310,0.025300,-0.00395755,-0.003751353,0.0472126459,0.00290
196311,-0.008500,-0.005575297,-0.014158352,-0.020970503,0.00270
196312,0.018300,-0.020187271,0.0086580404,0.010100875,0.00290
196401,0.022400,0.0072109217,0.0059015435,0.0362689535,0.00300
196402,0.015400,0.013188294,0.0114599752,0.0179862145,0.00260
196403,0.014100,0.0206563642,0.0514204136,0.0209586302,0.00310
196404,0.001000,-0.036419027,-0.007969255,-0.000054514,0.00290
196405,0.014200,-0.009222268,0.0085168601,0.0192072685,0.00260
196406,0.012700,0.0068836527,-0.025273748,-0.012696653,0.00300
196407,0.017400,0.0085069706,0.0176631727,-0.012363787,0.00300
196408,-0.014400,0.0071466973,-0.006919205,-0.008885346,0.00280
196409,0.026900,-0.011311107,0.012957959,-0.001572033,0.00280
196410,0.005900,0.0059183256,0.0038297769,-0.006235726,0.00290
196411,0.000000,-0.010449217,0.0082386641,-0.000977306,0.00290
196412,0.000300,-0.000676284,-0.018551516,-0.000817293,0.00310
196501,0.035400,0.0252695959,-0.007873157,0.0031369812,0.00280
196502,0.004400,0.0359613868,-0.004723771,0.0084417244,0.00300
196503,-0.013400,0.0272765429,-0.003277285,-0.005296635,0.00360
196504,0.031100,0.0199291949,-0.021635266,0.0306795807,0.00310
196505,-0.007700,0.0031116342,0.006467603,-0.006759593,0.00310
