% LIQUIDITY FACTORS OF PASTOR AND STAMBAUGH (JPE 2003) UPDATED THROUGH DEC 2024
% Column 1: Month
% Column 2: Levels of aggregated liquidity (Figure 1 in the paper)
% Column 3: Innovations in aggregated liquidity (non-traded liquidity factor; equation(8); the main series)
% Column 4: Traded liquidity factor (LIQ_V, 10-1 portfolio return)
% Note: The traded factor is the value-weighted return on the 10-1 portfolio from a sort on historical
% liquidity betas. This procedure is simpler than sorting on predicted betas (as in the original study)
% and through 2024 it is similarly successful at creating a spread in post-ranking betas. The traded
% factor has a positive and significant alpha through 2024, consistent with liquidity risk being priced.
%
% Month	Agg Liq.	Innov Liq (eq8)	Traded Liq (LIQ_V)
196208	 -0.01753665	  0.00426023	-99
196209	 -0.00407476	  0.01176268	-99
196210	 -0.10421182	 -0.07404113	-99
196211	 -0.01974170	  0.02818329	-99
196212	 -0.00508932	  0.01292886	-99
196301	 -0.05579688	  0.01002189	-99
196302	  0.01440415	  0.02532690	-99
196303	 -0.02345353	 -0.02002673	-99
196304	  0.05413256	  0.07849578	-99
196305	  0.00354149	 -0.01262616	-99
196306	  0.00959259	  0.00057902	-99
196307	  0.01432622	  0.02091747	-99
196308	  0.03377117	  0.03914555	-99
196309	 -0.00754051	  0.02063806	-99
196310	  0.02680674	  0.03278371	-99
196311	 -0.05313628	 -0.05957774	-99
196312	 -0.02057456	  0.01376897	-99
196401	 -0.07136865	 -0.05528655	-99
196402	 -0.02474947	  0.01288938	-99
196403	  0.03138953	  0.04159829	-99
196404	 -0.04066632	 -0.02717302	-99
196405	 -0.02572531	 -0.00608962	-99
196406	 -0.05656731	 -0.01063444	-99
196407	  0.05819052	  0.05591597	-99
196408	 -0.04851473	 -0.04386348	-99
196409	 -0.00816173	  0.01317293	-99
196410	  0.01293438	  0.03821599	-99
196411	  0.01488576	 -0.00393330	-99
196412	 -0.02673007	 -0.01285908	-99
196501	  0.03792484	  0.07040510	-99
196502	 -0.01642848	  0.02201502	-99
196503	  0.03397015	  0.01755691	-99
196504	  0.02236123	  0.04136978	-99
196505	 -0.01294328	  0.03440933	-99
196506	 -0.16340986	 -0.11283002	-99
196507	 -0.08097770	 -0.05039490	-99
196508	 -0.03474854	  0.07106145	-99
196509	  0.02700284	  0.06091989	-99
196510	  0.00619570	 -0.02504689	-99
196511	  0.04447103	  0.06742046	-99
196512	  0.04087982	  0.02434336	-99
196601	  0.03997342	  0.02304761	-99
196602	  0.03502076	  0.04643078	-99
196603	 -0.06624631	 -0.06472742	-99
196604	  0.02544957	  0.05488150	-99
196605	 -0.12120717	 -0.07857662	-99
196606	 -0.05336572	 -0.01303136	-99
196607	 -0.03300131	  0.00662831	-99
196608	 -0.10666850	 -0.08658548	-99
196609	 -0.08782498	 -0.04568373	-99
196610	 -0.20654128	 -0.08556448	-99
196611	 -0.05410496	  0.04642038	-99
196612	 -0.02167905	  0.04313946	-99
196701	 -0.02740850	  0.01202312	-99
196702	 -0.07258040	  0.01435574	-99
196703	 -0.00863176	  0.03406065	-99
196704	 -0.00152597	  0.01885063	-99
196705	  0.01392227	  0.02434162	-99
196706	 -0.06198466	 -0.04824477	-99
196707	 -0.02837509	  0.01395023	-99
196708	  0.02907304	  0.06916785	-99
196709	  0.02354394	  0.03029911	-99
196710	 -0.03053991	 -0.04112430	-99
196711	 -0.03066846	 -0.01118694	-99
196712	  0.00159134	  0.03360126	-99
196801	 -0.02152331	  0.00226907	 -0.02540564	
196802	 -0.03459893	 -0.01896620	  0.02213928	
196803	 -0.11694312	 -0.08230390	  0.00838539	
196804	  0.02245332	  0.08693221	  0.00504472	
196805	 -0.02061391	  0.00921815	 -0.01514423	
196806	  0.00822169	  0.03297913	 -0.00026051	
196807	 -0.01049623	  0.00824515	 -0.03551518	
196808	 -0.02019994	 -0.00827433	  0.00505116	
196809	 -0.00870728	  0.01451321	  0.01300449	
196810	  0.00660634	  0.02640767	 -0.00071775	
196811	 -0.00022576	  0.01591315	 -0.00615564	
196812	 -0.02857454	 -0.01036696	  0.01175393	
196901	 -0.03378834	 -0.00748247	  0.02260170	
196902	 -0.02503033	  0.01092682	  0.05643482	
196903	 -0.02256855	  0.00643938	 -0.01703415	
196904	 -0.01274491	  0.00899949	  0.01674071	
196905	  0.01158629	  0.04598710	  0.00647644	
196906	 -0.04735751	 -0.03884558	  0.05729539	
196907	 -0.12262451	 -0.09153173	  0.03244715	
196908	 -0.08789095	 -0.04680034	 -0.01348752	
196909	  0.01326256	  0.08866219	  0.02041740	
196910	 -0.06038219	 -0.02634001	 -0.05642570	
196911	  0.01656733	  0.04022282	  0.03169597	
196912	 -0.01985261	 -0.02538166	  0.02600825	
197001	 -0.11018564	 -0.06721317	  0.02194959	
197002	 -0.08139629	 -0.01105383	 -0.05988703	
197003	 -0.13845301	 -0.06569773	  0.00277473	
197004	 -0.09427155	 -0.03121271	  0.03971232	
197005	 -0.24058807	 -0.19850219	 -0.07777586	
197006	 -0.18762334	 -0.14012202	 -0.03616947	
197007	 -0.01379573	  0.06115579	 -0.00137115	
197008	 -0.06668893	  0.00597353	  0.00208282	
197009	 -0.06687556	 -0.01490375	 -0.01567859	
197010	  0.09627156	  0.09554011	 -0.01643634	
197011	 -0.05985976	 -0.04557048	 -0.00559368	
197012	 -0.07305842	 -0.01499659	  0.04992480	
197101	  0.01775836	  0.04184824	 -0.04014598	
197102	 -0.06448822	 -0.03745071	 -0.01763190	
197103	  0.03170128	  0.06213740	  0.01863740	
197104	 -0.00998386	  0.00642291	  0.02572797	
197105	 -0.01940864	 -0.02603297	  0.00384779	
197106	 -0.04414564	 -0.01221918	 -0.04189905	
197107	 -0.10142122	 -0.03342907	 -0.00583513	
197108	 -0.04506715	 -0.00866329	  0.02469990	
197109	  0.01980991	  0.05981069	  0.00327777	
197110	 -0.05637401	 -0.01283722	  0.03220380	
197111	 -0.09198767	 -0.03783683	  0.00706075	
197112	  0.00850009	  0.04590703	 -0.00224165	
197201	 -0.09412266	 -0.08221294	 -0.03669286	
197202	 -0.03060037	  0.01672967	  0.00969740	
197203	 -0.01137246	  0.02356735	  0.03382246	
197204	 -0.00295654	  0.01787120	  0.01401382	
197205	 -0.06445359	 -0.04308590	 -0.00251954	
197206	  0.00610800	  0.00296133	  0.01461396	
197207	 -0.08959187	 -0.06722043	  0.01614596	
197208	  0.01435214	  0.02164517	 -0.02701586	
197209	 -0.01895737	  0.02581603	 -0.01634573	
197210	 -0.03986215	 -0.02358766	 -0.01902972	
197211	 -0.01686769	 -0.03260457	 -0.00816412	
197212	 -0.07355568	 -0.03554214	  0.00900269	
197301	 -0.05781599	 -0.02820455	 -0.01481267	
197302	 -0.04853245	  0.02630100	 -0.01084836	
197303	 -0.03054217	 -0.01488124	 -0.01272228	
197304	 -0.04049684	 -0.01070251	  0.02311953	
197305	 -0.11534552	 -0.06506020	 -0.00270427	
197306	 -0.20033228	 -0.16647058	 -0.03230874	
197307	 -0.09612580	 -0.01153942	  0.00247033	
197308	 -0.09691967	 -0.03042835	  0.01591954	
197309	 -0.12374937	 -0.00564131	  0.01708394	
197310	 -0.05408999	  0.02085353	 -0.04304216	
197311	 -0.30250782	 -0.24156106	 -0.02651634	
197312	 -0.13258622	 -0.08344387	 -0.01679927	
197401	 -0.16222445	 -0.07149124	  0.10075292	
197402	 -0.12089040	 -0.05790456	  0.03963822	
197403	 -0.00128549	  0.11089526	  0.04361550	
197404	 -0.04192013	 -0.00072117	  0.02164613	
197405	 -0.10176297	 -0.08421020	  0.06053269	
197406	 -0.06936981	 -0.06594843	 -0.00694888	
197407	 -0.23115418	 -0.13736679	 -0.00457639	
197408	 -0.10185550	 -0.06654655	 -0.03129645	
197409	 -0.11031084	 -0.06970786	  0.02280320	
197410	 -0.08565761	  0.00465385	 -0.07279490	
197411	 -0.08357263	  0.03110987	 -0.02532073	
197412	 -0.10467866	 -0.04497651	  0.01928950	
197501	 -0.11363560	 -0.07844398	  0.10876389	
197502	 -0.07571965	  0.01609043	  0.03662677	
197503	 -0.13072534	  0.00295996	  0.05969079	
197504	  0.00011554	  0.03155779	  0.00217849	
197505	 -0.06664547	 -0.01303102	 -0.03349678	
197506	  0.02342901	  0.02342727	 -0.01748245	
197507	 -0.05962827	 -0.02751367	 -0.00961332	
197508	 -0.12755964	 -0.12166774	 -0.00855122	
197509	 -0.08967729	 -0.05422732	 -0.01921566	
197510	 -0.06496285	  0.02306561	  0.09069118	
197511	  0.00741821	  0.02542058	  0.03623193	
197512	 -0.02442816	 -0.02100803	 -0.00279676	
197601	 -0.06026916	 -0.03412463	  0.01930918	
197602	 -0.01850114	  0.05028727	 -0.04225125	
197603	 -0.01869402	  0.00694709	 -0.01797504	
197604	 -0.02836403	 -0.04814204	 -0.01965143	
197605	 -0.09013978	 -0.08660313	 -0.04059278	
197606	 -0.06495230	 -0.02409620	 -0.00572528	
197607	 -0.09137023	 -0.05562150	 -0.02705599	
197608	 -0.01515904	  0.03024283	  0.01794591	
197609	 -0.03775239	  0.01619673	 -0.01542257	
197610	 -0.08540734	 -0.04521880	  0.00385740	
197611	 -0.08199193	 -0.02265579	 -0.02387473	
197612	 -0.02567946	  0.05325346	 -0.01240966	
197701	 -0.06248706	 -0.04682477	 -0.03064272	
197702	 -0.00039705	  0.03578337	 -0.00984019	
197703	 -0.05633423	  0.03102752	  0.01079852	
197704	 -0.01072185	 -0.01111358	 -0.02492795	
197705	 -0.03332456	 -0.01419491	  0.01811865	
197706	 -0.00864341	  0.01654422	  0.02199312	
197707	 -0.04816932	 -0.01416105	  0.00119646	
197708	 -0.04412220	  0.00467162	  0.03132657	
197709	 -0.04748178	 -0.02304756	  0.01051654	
197710	 -0.03260695	 -0.00250096	 -0.01108198	
197711	 -0.01279571	  0.02758407	  0.00253713	
197712	  0.02084873	  0.03467886	 -0.00612393	
197801	 -0.04222258	 -0.00585639	  0.00672525	
197802	 -0.01929822	  0.01280314	  0.00010469	
197803	 -0.01049430	  0.00249302	  0.01720571	
197804	 -0.00780383	  0.01909496	  0.03084663	
197805	  0.01785201	  0.02147363	  0.01378779	
197806	  0.01073519	  0.01409392	  0.01089029	
197807	 -0.04349239	 -0.03510279	  0.03138675	
197808	  0.02096417	  0.03699058	 -0.00088631	
197809	 -0.00570674	 -0.01185991	 -0.02730711	
197810	 -0.10828928	 -0.10098324	  0.04280582	
197811	 -0.07491575	 -0.03176828	 -0.03162120	
197812	 -0.03422058	  0.03449349	  0.00199465	
197901	 -0.01441439	  0.02320950	 -0.01029938	
197902	 -0.03296427	  0.00704968	 -0.02811765	
197903	 -0.04381288	  0.02112648	 -0.00695441	
197904	  0.00478602	  0.05400849	  0.01849867	
197905	 -0.08102735	 -0.04708153	 -0.02188811	
197906	 -0.01188102	  0.02307733	 -0.01669465	
197907	  0.02263794	  0.06012205	 -0.01719865	
197908	  0.01305124	  0.03639251	  0.01475767	
197909	 -0.07426784	 -0.06292249	 -0.00978073	
197910	 -0.15447257	 -0.10368090	 -0.00030052	
197911	 -0.03883258	  0.00575112	 -0.06750272	
197912	 -0.00920058	  0.02323926	 -0.01807817	
198001	 -0.05958447	 -0.01960818	  0.00013109	
198002	 -0.09784091	 -0.04307061	  0.02114945	
198003	 -0.14193797	 -0.08808965	  0.02794556	
198004	 -0.05117316	 -0.03193408	 -0.01240179	
198005	  0.03284126	  0.07753963	 -0.00782060	
198006	 -0.01566887	  0.00214179	  0.01010759	
198007	 -0.03519602	 -0.01609606	 -0.00569326	
198008	  0.00723605	  0.05259130	  0.01373905	
198009	 -0.04758752	 -0.01777373	  0.00919783	
198010	 -0.01239088	  0.03524534	  0.02758604	
198011	 -0.02423485	  0.00230106	  0.03062221	
198012	 -0.05639616	 -0.01327812	  0.02748807	
198101	 -0.02295500	  0.00321802	  0.03893398	
198102	 -0.00758953	  0.00029747	  0.00211983	
198103	 -0.02136465	  0.01382375	  0.01393817	
198104	 -0.02810852	  0.01003109	 -0.01912218	
198105	  0.00737341	  0.02842332	 -0.02798762	
198106	  0.00168118	  0.03077306	  0.06094841	
198107	 -0.01763500	  0.01120843	 -0.01241394	
198108	 -0.07670137	 -0.04361224	 -0.00142182	
198109	 -0.15284444	 -0.12082578	  0.09223195	
198110	 -0.04551135	 -0.00340834	 -0.02465792	
198111	 -0.03161579	 -0.01497255	  0.06060739	
198112	 -0.02358720	  0.02670630	  0.00907384	
198201	 -0.06997584	 -0.05917557	 -0.01978417	
198202	 -0.12230555	 -0.08165149	 -0.01144574	
198203	 -0.03094867	  0.00797149	  0.04354018	
198204	  0.00482292	  0.04264296	 -0.02399156	
198205	 -0.00252187	 -0.00806918	  0.02935751	
198206	 -0.01252549	  0.02117691	  0.04970968	
198207	  0.01259311	  0.01762775	 -0.01586295	
198208	 -0.05756179	 -0.03605231	 -0.00509109	
198209	 -0.02623568	  0.02458550	  0.04186289	
198210	 -0.04193409	 -0.00722408	 -0.03783243	
198211	 -0.00449950	  0.02779165	  0.01049033	
198212	  0.00074378	  0.02914305	 -0.03135686	
198301	 -0.02964785	  0.00200507	 -0.05475749	
198302	  0.00812041	  0.03925349	 -0.03120860	
198303	 -0.04766193	 -0.02646682	  0.04017853	
198304	 -0.00471343	  0.02538959	  0.03559141	
198305	 -0.07871142	 -0.04695990	  0.01816680	
198306	 -0.00339973	  0.04782151	  0.00092081	
198307	 -0.04793408	 -0.02565660	  0.04384996	
198308	 -0.04234025	 -0.00998390	  0.04344734	
198309	 -0.02372007	  0.02538473	  0.01391928	
198310	  0.03439859	  0.05987032	  0.05772609	
198311	  0.01370172	  0.05045445	 -0.07196858	
198312	 -0.03358922	  0.01485155	  0.05002490	
198401	 -0.02518414	 -0.00580975	  0.06525340	
198402	 -0.04222727	 -0.02769163	  0.00521760	
198403	 -0.00982163	  0.03036172	  0.00941229	
198404	 -0.08444471	 -0.04802588	  0.00409888	
198405	  0.00682982	  0.04539202	  0.02360299	
198406	 -0.01601648	  0.02393316	 -0.00288699	
198407	 -0.02663180	  0.01176426	  0.02081929	
198408	  0.00187372	  0.03255834	 -0.03492146	
198409	 -0.01898864	  0.01090030	  0.02426426	
198410	 -0.02988708	 -0.01094633	 -0.00664306	
198411	 -0.00231840	  0.00632347	  0.01563082	
198412	 -0.03602564	 -0.00293500	 -0.00023396	
198501	 -0.00841324	  0.01675097	 -0.01660344	
198502	 -0.01040315	  0.00595844	  0.02277367	
198503	  0.00593392	  0.00411442	  0.03882319	
198504	  0.01006849	  0.03082114	  0.03804409	
198505	  0.00000677	  0.02332418	 -0.00808688	
